year,sector,fuel,energy_PJ,state
2004,"Food, beverage, textiles",Renewables,37.935,Australia
2004,"Wood, paper and printing",Coal,6.636,Australia
2004,"Wood, paper and printing",Gas,21.879,Australia
2004,"Wood, paper and printing",Oil,0.65,Australia
2004,"Wood, paper and printing",Electricity,15.415,Australia
2004,"Wood, paper and printing",Renewables,22.896,Australia
2004,Chemical,Coal,7.319,Australia
2004,Chemical,Gas,73.13,Australia
2004,Chemical,Oil,56.276,Australia
2004,Chemical,Electricity,15.899,Australia
2004,Chemical,Renewables,0.46,Australia
2004,Iron and steel,Coal,33.841,Australia
2004,Iron and steel,Gas,21.473,Australia
2004,Iron and steel,Oil,0.783,Australia
2004,Iron and steel,Electricity,13.747,Australia
2004,Iron and steel,Renewables,,Australia
2004,Non-ferrous metals,Coal,57.56,Australia
2004,Non-ferrous metals,Gas,136.764,Australia
2004,Non-ferrous metals,Oil,58.173,Australia
2004,Non-ferrous metals,Electricity,133.858,Australia
2004,Non-ferrous metals,Renewables,2.318,Australia
2004,Other industry,Coal,30.53,Australia
2004,Other industry,Gas,63.965,Australia
2004,Other industry,Oil,10.845,Australia
2004,Other industry,Electricity,32.548,Australia
2004,Other industry,Renewables,2.538,Australia
2004,Total Manufacturing,Coal,155.063,Australia
2004,Total Manufacturing,Gas,353.802,Australia
2004,Total Manufacturing,Oil,130.607,Australia
2004,Total Manufacturing,Electricity,233.657,Australia
2004,Total Manufacturing,Renewables,66.146,Australia
2004,Water and waste b,Coal,0,Australia
2004,Water and waste b,Gas,0.578,Australia
2004,Water and waste b,Oil,0.528,Australia
2004,Water and waste b,Electricity,8.836,Australia
2004,Water and waste b,Renewables,0.46,Australia
2004,Construction,Coal,,Australia
2004,Construction,Gas,3.108,Australia
2004,Construction,Oil,24.436,Australia
2004,Construction,Electricity,0.294,Australia
2004,Construction,Renewables,0,Australia
2004,Road transport,Coal,,Australia
2004,Road transport,Gas,1.452,Australia
2004,Road transport,Oil,1027.631,Australia
2004,Road transport,Electricity,0,Australia
2004,Road transport,Renewables,0,Australia
2004,Rail transport,Coal,0,Australia
2004,Rail transport,Gas,0.02,Australia
2004,Rail transport,Oil,27.058,Australia
2004,Rail transport,Electricity,8.321,Australia
2004,Rail transport,Renewables,0,Australia
2004,Air transport c,Coal,,Australia
2004,Air transport c,Gas,,Australia
2004,Air transport c,Oil,202.454,Australia
2004,Air transport c,Electricity,,Australia
2004,Air transport c,Renewables,,Australia
2004,Water transport d,Coal,8,Australia
2004,Water transport d,Gas,0.062,Australia
2004,Water transport d,Oil,58.498,Australia
2004,Water transport d,Electricity,,Australia
2004,Water transport d,Renewables,,Australia
2004,Other transport,Coal,0,Australia
2004,Other transport,Gas,0.702,Australia
2004,Other transport,Oil,4.962,Australia
2004,Other transport,Electricity,4.177,Australia
2004,Other transport,Renewables,0,Australia
2004,Total Transport,Coal,8,Australia
2004,Total Transport,Gas,2.236,Australia
2004,Total Transport,Oil,1320.604,Australia
2004,Total Transport,Electricity,12.498,Australia
2004,Total Transport,Renewables,0,Australia
2004,Commercial and services,Coal,3.341,Australia
2004,Commercial and services,Gas,44.03,Australia
2004,Commercial and services,Oil,21.201,Australia
2004,Commercial and services,Electricity,187.314,Australia
2004,Commercial and services,Renewables,0.536,Australia
2004,Residential,Coal,0.949,Australia
2004,Residential,Gas,128.395,Australia
2004,Residential,Oil,12.77,Australia
2004,Residential,Electricity,198.495,Australia
2004,Residential,Renewables,70.268,Australia
2004,"Lubricants, bitumen, solvents",Coal,,Australia
2004,"Lubricants, bitumen, solvents",Gas,,Australia
2004,"Lubricants, bitumen, solvents",Oil,60.4,Australia
2004,"Lubricants, bitumen, solvents",Electricity,,Australia
2004,"Lubricants, bitumen, solvents",Renewables,,Australia
2004,Total final consumption,Coal,167.792,Australia
2004,Total final consumption,Gas,592.021,Australia
2004,Total final consumption,Oil,1780.872,Australia
2004,Total final consumption,Electricity,701.108,Australia
2004,Total final consumption,Renewables,137.57,Australia
2005,Agriculture,Coal,,Australia
2005,Agriculture,Gas,0.098,Australia
2005,Agriculture,Oil,87.762,Australia
2005,Agriculture,Electricity,9.042,Australia
2005,Agriculture,Renewables,,Australia
2005,Mining,Coal,0.397,Australia
2005,Mining,Gas,58.752,Australia
2005,Mining,Oil,112.334,Australia
2005,Mining,Electricity,60.924,Australia
2005,Mining,Renewables,0.154,Australia
2005,"Food, beverage, textiles",Coal,18.435,Australia
2005,"Food, beverage, textiles",Gas,36.133,Australia
2005,"Food, beverage, textiles",Oil,4.034,Australia
2005,"Food, beverage, textiles",Electricity,22.746,Australia
2005,"Food, beverage, textiles",Renewables,38.165,Australia
2005,"Wood, paper and printing",Coal,6.829,Australia
2005,"Wood, paper and printing",Gas,21.631,Australia
2005,"Wood, paper and printing",Oil,0.65,Australia
2005,"Wood, paper and printing",Electricity,15.79,Australia
2005,"Wood, paper and printing",Renewables,23.564,Australia
2005,Chemical,Coal,7.725,Australia
2005,Chemical,Gas,71.799,Australia
2005,Chemical,Oil,57.176,Australia
2005,Chemical,Electricity,16.531,Australia
2005,Chemical,Renewables,0.42,Australia
2005,Iron and steel,Coal,32.158,Australia
2005,Iron and steel,Gas,20.238,Australia
2005,Iron and steel,Oil,0.913,Australia
2005,Iron and steel,Electricity,12.941,Australia
2005,Iron and steel,Renewables,,Australia
2005,Non-ferrous metals,Coal,56.8,Australia
2005,Non-ferrous metals,Gas,140.352,Australia
2005,Non-ferrous metals,Oil,58.078,Australia
2005,Non-ferrous metals,Electricity,132.266,Australia
2005,Non-ferrous metals,Renewables,2.324,Australia
2005,Other industry,Coal,30.751,Australia
2005,Other industry,Gas,58.719,Australia
2005,Other industry,Oil,11.892,Australia
2005,Other industry,Electricity,30.563,Australia
2005,Other industry,Renewables,2.422,Australia
2005,Total Manufacturing,Coal,152.699,Australia
2005,Total Manufacturing,Gas,348.872,Australia
2005,Total Manufacturing,Oil,132.743,Australia
2005,Total Manufacturing,Electricity,230.836,Australia
2005,Total Manufacturing,Renewables,66.896,Australia
2005,Water and waste b,Coal,0,Australia
2005,Water and waste b,Gas,0.628,Australia
2005,Water and waste b,Oil,0.573,Australia
2005,Water and waste b,Electricity,9.232,Australia
2005,Water and waste b,Renewables,0.601,Australia
2005,Construction,Coal,,Australia
2005,Construction,Gas,3.109,Australia
2005,Construction,Oil,22.926,Australia
2005,Construction,Electricity,0.299,Australia
2005,Construction,Renewables,0,Australia
2005,Road transport,Coal,,Australia
2005,Road transport,Gas,1.549,Australia
2005,Road transport,Oil,1044.859,Australia
2005,Road transport,Electricity,0,Australia
2005,Road transport,Renewables,0,Australia
2005,Rail transport,Coal,0,Australia
2005,Rail transport,Gas,0.017,Australia
2005,Rail transport,Oil,27.125,Australia
2005,Rail transport,Electricity,8.596,Australia
2005,Rail transport,Renewables,0,Australia
2005,Air transport c,Coal,,Australia
2005,Air transport c,Gas,,Australia
2005,Air transport c,Oil,209.382,Australia
2005,Air transport c,Electricity,,Australia
2005,Air transport c,Renewables,,Australia
2005,Water transport d,Coal,6.9,Australia
2005,Water transport d,Gas,0.068,Australia
2005,Water transport d,Oil,62.195,Australia
2005,Water transport d,Electricity,,Australia
2005,Water transport d,Renewables,,Australia
2005,Other transport,Coal,0,Australia
2005,Other transport,Gas,0.902,Australia
2005,Other transport,Oil,6.413,Australia
2005,Other transport,Electricity,4.748,Australia
2005,Other transport,Renewables,0,Australia
2005,Total Transport,Coal,6.9,Australia
2005,Total Transport,Gas,2.536,Australia
2005,Total Transport,Oil,1349.975,Australia
2005,Total Transport,Electricity,13.343,Australia
2005,Total Transport,Renewables,0,Australia
2005,Commercial and services,Coal,2.608,Australia
2005,Commercial and services,Gas,42.595,Australia
2005,Commercial and services,Oil,24.471,Australia
2005,Commercial and services,Electricity,189.2,Australia
2005,Commercial and services,Renewables,0.503,Australia
2005,Residential,Coal,0.879,Australia
2005,Residential,Gas,132.512,Australia
2005,Residential,Oil,15.226,Australia
2005,Residential,Electricity,201.49,Australia
2005,Residential,Renewables,67.859,Australia
2005,"Lubricants, bitumen, solvents",Coal,,Australia
2005,"Lubricants, bitumen, solvents",Gas,,Australia
2005,"Lubricants, bitumen, solvents",Oil,63.4,Australia
2005,"Lubricants, bitumen, solvents",Electricity,,Australia
2005,"Lubricants, bitumen, solvents",Renewables,,Australia
2005,Total final consumption,Coal,163.481,Australia
2005,Total final consumption,Gas,589.101,Australia
2005,Total final consumption,Oil,1809.409,Australia
2005,Total final consumption,Electricity,714.368,Australia
2005,Total final consumption,Renewables,136.012,Australia
2006,Agriculture,Coal,,Australia
2006,Agriculture,Gas,0.099,Australia
2006,Agriculture,Oil,84.778,Australia
2006,Agriculture,Electricity,9.276,Australia
2006,Agriculture,Renewables,,Australia
2006,Mining,Coal,0.365,Australia
2006,Mining,Gas,55.868,Australia
2006,Mining,Oil,107.536,Australia
2006,Mining,Electricity,62.026,Australia
2006,Mining,Renewables,0.151,Australia
2006,"Food, beverage, textiles",Coal,14.758,Australia
2006,"Food, beverage, textiles",Gas,36.001,Australia
2006,"Food, beverage, textiles",Oil,4.065,Australia
2006,"Food, beverage, textiles",Electricity,23.395,Australia
2006,"Food, beverage, textiles",Renewables,38.878,Australia
2006,"Wood, paper and printing",Coal,5.699,Australia
2006,"Wood, paper and printing",Gas,22.441,Australia
2006,"Wood, paper and printing",Oil,0.602,Australia
2006,"Wood, paper and printing",Electricity,17.402,Australia
2006,"Wood, paper and printing",Renewables,25.581,Australia
2006,Chemical,Coal,7.658,Australia
2006,Chemical,Gas,61.513,Australia
2006,Chemical,Oil,60.122,Australia
2006,Chemical,Electricity,17.895,Australia
2006,Chemical,Renewables,0.431,Australia
2006,Iron and steel,Coal,33.8,Australia
2006,Iron and steel,Gas,22.024,Australia
2006,Iron and steel,Oil,0.931,Australia
2006,Iron and steel,Electricity,13.754,Australia
2006,Iron and steel,Renewables,,Australia
2006,Non-ferrous metals,Coal,59.18,Australia
2006,Non-ferrous metals,Gas,145.141,Australia
2006,Non-ferrous metals,Oil,57.356,Australia
2006,Non-ferrous metals,Electricity,138.377,Australia
2006,Non-ferrous metals,Renewables,2.342,Australia
2006,Other industry,Coal,31.487,Australia
2006,Other industry,Gas,71.266,Australia
2006,Other industry,Oil,11.393,Australia
2006,Other industry,Electricity,32.72,Australia
2006,Other industry,Renewables,2.346,Australia
2006,Total Manufacturing,Coal,152.582,Australia
2006,Total Manufacturing,Gas,358.386,Australia
2006,Total Manufacturing,Oil,134.47,Australia
2006,Total Manufacturing,Electricity,243.541,Australia
2006,Total Manufacturing,Renewables,69.578,Australia
2006,Water and waste b,Coal,0,Australia
2006,Water and waste b,Gas,0.643,Australia
2006,Water and waste b,Oil,0.587,Australia
2006,Water and waste b,Electricity,9.678,Australia
2006,Water and waste b,Renewables,0.62,Australia
2006,Construction,Coal,,Australia
2006,Construction,Gas,3.133,Australia
2006,Construction,Oil,22.904,Australia
2006,Construction,Electricity,0.31,Australia
2006,Construction,Renewables,0,Australia
2006,Road transport,Coal,,Australia
2006,Road transport,Gas,1.586,Australia
2006,Road transport,Oil,1059.419,Australia
2006,Road transport,Electricity,0,Australia
2006,Road transport,Renewables,0.956,Australia
2006,Rail transport,Coal,0,Australia
2006,Rail transport,Gas,0.016,Australia
2006,Rail transport,Oil,27.663,Australia
2006,Rail transport,Electricity,8.945,Australia
2006,Rail transport,Renewables,0,Australia
2006,Air transport c,Coal,,Australia
2006,Air transport c,Gas,,Australia
2006,Air transport c,Oil,229.896,Australia
2006,Air transport c,Electricity,,Australia
2006,Air transport c,Renewables,,Australia
2006,Water transport d,Coal,7.4,Australia
2006,Water transport d,Gas,0.073,Australia
2006,Water transport d,Oil,61.033,Australia
2006,Water transport d,Electricity,,Australia
2006,Water transport d,Renewables,,Australia
2006,Other transport,Coal,0,Australia
2006,Other transport,Gas,0.943,Australia
2006,Other transport,Oil,6.741,Australia
2006,Other transport,Electricity,4.989,Australia
2006,Other transport,Renewables,0,Australia
2006,Total Transport,Coal,7.4,Australia
2006,Total Transport,Gas,2.618,Australia
2006,Total Transport,Oil,1384.751,Australia
2006,Total Transport,Electricity,13.934,Australia
2006,Total Transport,Renewables,0.956,Australia
2006,Commercial and services,Coal,2.265,Australia
2006,Commercial and services,Gas,42.509,Australia
2006,Commercial and services,Oil,25.129,Australia
2006,Commercial and services,Electricity,202.211,Australia
2006,Commercial and services,Renewables,0.504,Australia
2006,Residential,Coal,0.854,Australia
2006,Residential,Gas,134.527,Australia
2006,Residential,Oil,14.501,Australia
2006,Residential,Electricity,207.684,Australia
2006,Residential,Renewables,69.096,Australia
2006,"Lubricants, bitumen, solvents",Coal,,Australia
2006,"Lubricants, bitumen, solvents",Gas,,Australia
2006,"Lubricants, bitumen, solvents",Oil,62.7,Australia
2006,"Lubricants, bitumen, solvents",Electricity,,Australia
2006,"Lubricants, bitumen, solvents",Renewables,,Australia
2006,Total final consumption,Coal,163.467,Australia
2006,Total final consumption,Gas,597.782,Australia
2006,Total final consumption,Oil,1837.356,Australia
2006,Total final consumption,Electricity,748.66,Australia
2006,Total final consumption,Renewables,140.905,Australia
2007,Agriculture,Coal,,Australia
2007,Agriculture,Gas,0.099,Australia
2007,Agriculture,Oil,85.749,Australia
2007,Agriculture,Electricity,9.125,Australia
2007,Agriculture,Renewables,,Australia
2007,Mining,Coal,0.347,Australia
2007,Mining,Gas,57.603,Australia
2007,Mining,Oil,113.82,Australia
2007,Mining,Electricity,62.167,Australia
2007,Mining,Renewables,0.149,Australia
2007,"Food, beverage, textiles",Coal,15.123,Australia
2007,"Food, beverage, textiles",Gas,35.992,Australia
2007,"Food, beverage, textiles",Oil,4.031,Australia
2007,"Food, beverage, textiles",Electricity,23.27,Australia
2007,"Food, beverage, textiles",Renewables,38.609,Australia
2007,"Wood, paper and printing",Coal,5.419,Australia
2007,"Wood, paper and printing",Gas,21.925,Australia
2007,"Wood, paper and printing",Oil,0.518,Australia
2007,"Wood, paper and printing",Electricity,17.511,Australia
2007,"Wood, paper and printing",Renewables,26.594,Australia
2007,Chemical,Coal,7.751,Australia
2007,Chemical,Gas,66.588,Australia
2007,Chemical,Oil,58.688,Australia
2007,Chemical,Electricity,16.656,Australia
2007,Chemical,Renewables,0.425,Australia
2007,Iron and steel,Coal,36.333,Australia
2007,Iron and steel,Gas,22.476,Australia
2007,Iron and steel,Oil,1,Australia
2007,Iron and steel,Electricity,13.649,Australia
2007,Iron and steel,Renewables,,Australia
2007,Non-ferrous metals,Coal,62.774,Australia
2007,Non-ferrous metals,Gas,139.561,Australia
2007,Non-ferrous metals,Oil,64.162,Australia
2007,Non-ferrous metals,Electricity,136.847,Australia
2007,Non-ferrous metals,Renewables,2.405,Australia
2007,Other industry,Coal,32.447,Australia
2007,Other industry,Gas,66.858,Australia
2007,Other industry,Oil,14.355,Australia
2007,Other industry,Electricity,33.074,Australia
2007,Other industry,Renewables,2.414,Australia
2007,Total Manufacturing,Coal,159.847,Australia
2007,Total Manufacturing,Gas,353.4,Australia
2007,Total Manufacturing,Oil,142.753,Australia
2007,Total Manufacturing,Electricity,241.007,Australia
2007,Total Manufacturing,Renewables,70.448,Australia
2007,Water and waste b,Coal,0,Australia
2007,Water and waste b,Gas,0.643,Australia
2007,Water and waste b,Oil,0.659,Australia
2007,Water and waste b,Electricity,11.451,Australia
2007,Water and waste b,Renewables,0.669,Australia
2007,Construction,Coal,,Australia
2007,Construction,Gas,3.122,Australia
2007,Construction,Oil,22.928,Australia
2007,Construction,Electricity,0.303,Australia
2007,Construction,Renewables,0,Australia
2007,Road transport,Coal,,Australia
2007,Road transport,Gas,1.683,Australia
2007,Road transport,Oil,1072.026,Australia
2007,Road transport,Electricity,0,Australia
2007,Road transport,Renewables,2.765,Australia
2007,Rail transport,Coal,0,Australia
2007,Rail transport,Gas,0.016,Australia
2007,Rail transport,Oil,33.087,Australia
2007,Rail transport,Electricity,9.245,Australia
2007,Rail transport,Renewables,0,Australia
2007,Air transport c,Coal,,Australia
2007,Air transport c,Gas,,Australia
2007,Air transport c,Oil,236.043,Australia
2007,Air transport c,Electricity,,Australia
2007,Air transport c,Renewables,,Australia
2007,Water transport d,Coal,8,Australia
2007,Water transport d,Gas,0.078,Australia
2007,Water transport d,Oil,65.088,Australia
2007,Water transport d,Electricity,,Australia
2007,Water transport d,Renewables,,Australia
2007,Other transport,Coal,0,Australia
2007,Other transport,Gas,1.006,Australia
2007,Other transport,Oil,7.401,Australia
2007,Other transport,Electricity,5.347,Australia
2007,Other transport,Renewables,0,Australia
2007,Total Transport,Coal,8,Australia
2007,Total Transport,Gas,2.783,Australia
2007,Total Transport,Oil,1413.646,Australia
2007,Total Transport,Electricity,14.591,Australia
2007,Total Transport,Renewables,2.765,Australia
2007,Commercial and services,Coal,1.974,Australia
2007,Commercial and services,Gas,43.171,Australia
2007,Commercial and services,Oil,25.942,Australia
2007,Commercial and services,Electricity,202.858,Australia
2007,Commercial and services,Renewables,0.525,Australia
2007,Residential,Coal,0.578,Australia
2007,Residential,Gas,136.862,Australia
2007,Residential,Oil,16.255,Australia
2007,Residential,Electricity,210.203,Australia
2007,Residential,Renewables,67.276,Australia
2007,"Lubricants, bitumen, solvents",Coal,,Australia
2007,"Lubricants, bitumen, solvents",Gas,,Australia
2007,"Lubricants, bitumen, solvents",Oil,63.2,Australia
2007,"Lubricants, bitumen, solvents",Electricity,,Australia
2007,"Lubricants, bitumen, solvents",Renewables,,Australia
2007,Total final consumption,Coal,170.747,Australia
2007,Total final consumption,Gas,597.683,Australia
2007,Total final consumption,Oil,1884.953,Australia
2007,Total final consumption,Electricity,751.705,Australia
2007,Total final consumption,Renewables,141.831,Australia
2008,Agriculture,Coal,,Australia
